Date;Poule;niveau_observation;Ponte;Etat_oeuf;Doute;Effectif;Remarques
2023-01-22;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-22;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-22;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-23;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-23;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-23;Valérie;individuel;0;RAS;False;1;RAS
2023-01-23;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-23;MARANS;groupe;0;RAS;False;1;RAS
2023-01-23;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-23;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-23;Augustine;individuel;0;RAS;False;1;RAS
2023-01-24;MARANS;groupe;0;RAS;False;1;RAS
2023-01-24;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-24;Valérie;individuel;0;RAS;False;1;RAS
2023-01-24;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-24;Augustine;individuel;0;RAS;False;1;RAS
2023-01-24;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-24;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-24;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-25;Valérie;individuel;0;RAS;False;1;RAS
2023-01-25;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-25;MARANS;groupe;0;RAS;False;1;RAS
2023-01-25;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-25;Augustine;individuel;0;RAS;False;1;RAS
2023-01-25;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-25;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-25;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-26;Joséphine;individuel;1;RAS;False;1;RAS
2023-01-26;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-26;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-26;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-26;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-26;Valérie;individuel;0;RAS;False;1;RAS
2023-01-26;Augustine;individuel;0;RAS;False;1;RAS
2023-01-26;MARANS;groupe;0;RAS;False;1;RAS
2023-01-27;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-27;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-27;Valérie;individuel;0;RAS;False;1;RAS
2023-01-27;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-27;MARANS;groupe;0;RAS;False;1;RAS
2023-01-27;Augustine;individuel;0;RAS;False;1;RAS
2023-01-27;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-27;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-28;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-28;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-28;MARANS;groupe;0;RAS;False;1;RAS
2023-01-28;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-28;Augustine;individuel;0;RAS;False;1;RAS
2023-01-28;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-28;Valérie;individuel;0;RAS;False;1;RAS
2023-01-28;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-29;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-29;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-29;Augustine;individuel;0;RAS;False;1;RAS
2023-01-29;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-29;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-29;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-29;Valérie;individuel;0;RAS;False;1;RAS
2023-01-29;MARANS;groupe;0;RAS;False;1;RAS
2023-01-30;MARANS;groupe;0;RAS;False;1;RAS
2023-01-30;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-30;Saquiel;individuel;1;RAS;False;1;RAS
2023-01-30;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-30;Cunégonde;individuel;0;RAS;False;1;RAS
2023-01-30;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-30;Valérie;individuel;0;RAS;False;1;RAS
2023-01-30;Augustine;individuel;0;RAS;False;1;RAS
2023-01-31;Cunégonde;individuel;1;RAS;False;1;RAS
2023-01-31;Saquiel;individuel;0;RAS;False;1;RAS
2023-01-31;Pioupioute;individuel;0;RAS;False;1;RAS
2023-01-31;Joséphine;individuel;0;RAS;False;1;RAS
2023-01-31;Valérie;individuel;0;RAS;False;1;RAS
2023-01-31;Rémiel;individuel;0;RAS;False;1;RAS
2023-01-31;Augustine;individuel;0;RAS;False;1;RAS
2023-01-31;MARANS;groupe;0;RAS;False;1;RAS
2023-02-01;MARANS;groupe;0;RAS;False;1;RAS
2023-02-01;Pioupioute;individuel;1;RAS;True;1;RAS
2023-02-01;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-01;Augustine;individuel;0;RAS;False;1;RAS
2023-02-01;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-01;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-01;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-01;Valérie;individuel;0;RAS;False;1;RAS
2023-02-02;MARANS;groupe;0;RAS;False;1;RAS
2023-02-02;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-02;Saquiel;individuel;1;RAS;False;1;RAS
2023-02-02;Valérie;individuel;0;RAS;False;1;RAS
2023-02-02;Augustine;individuel;0;RAS;False;1;RAS
2023-02-02;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-02;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-02;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-03;MARANS;groupe;0;RAS;False;1;RAS
2023-02-03;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-03;Augustine;individuel;0;RAS;False;1;RAS
2023-02-03;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-03;Valérie;individuel;0;RAS;False;1;RAS
2023-02-03;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-03;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-03;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-04;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-04;Augustine;individuel;0;RAS;False;1;RAS
2023-02-04;MARANS;groupe;0;RAS;False;1;RAS
2023-02-04;Valérie;individuel;0;RAS;False;1;RAS
2023-02-04;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-04;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-04;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-04;Saquiel;individuel;1;RAS;False;1;RAS
2023-02-05;Valérie;individuel;0;RAS;False;1;RAS
2023-02-05;MARANS;groupe;0;RAS;False;1;RAS
2023-02-05;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-05;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-05;Augustine;individuel;0;RAS;False;1;RAS
2023-02-05;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-05;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-05;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-06;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-06;Augustine;individuel;0;RAS;False;1;RAS
2023-02-06;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-06;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-06;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-06;Valérie;individuel;0;RAS;False;1;RAS
2023-02-06;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-06;MARANS;groupe;0;RAS;False;1;RAS
2023-02-07;MARANS;groupe;1;RAS;False;1;RAS
2023-02-07;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-07;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-07;Valérie;individuel;0;RAS;False;1;RAS
2023-02-07;Augustine;individuel;0;RAS;False;1;zentonyl
2023-02-07;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-07;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-07;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-08;MARANS;groupe;0;RAS;False;1;RAS
2023-02-08;Valérie;individuel;0;RAS;False;1;RAS
2023-02-08;Augustine;individuel;0;RAS;False;1;RAS
2023-02-08;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-08;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-08;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-08;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-08;Saquiel;individuel;1;RAS;False;1;RAS
2023-02-09;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-09;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-09;Valérie;individuel;0;RAS;False;1;RAS
2023-02-09;Augustine;individuel;0;RAS;False;1;RAS
2023-02-09;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-09;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-09;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-09;MARANS;groupe;0;RAS;False;1;RAS
2023-02-10;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-10;MARANS;groupe;1;RAS;False;1;RAS
2023-02-10;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-10;Valérie;individuel;0;RAS;False;1;RAS
2023-02-10;Augustine;individuel;0;RAS;False;1;RAS
2023-02-10;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-10;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-10;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-11;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-11;Augustine;individuel;0;RAS;False;1;antibio
2023-02-11;Valérie;individuel;0;RAS;False;1;RAS
2023-02-11;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-11;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-11;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-11;MARANS;groupe;0;RAS;False;1;RAS
2023-02-11;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-12;Valérie;individuel;0;RAS;False;1;RAS
2023-02-12;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-12;MARANS;groupe;1;RAS;False;1;RAS
2023-02-12;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-12;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-12;Augustine;individuel;0;RAS;False;1;RAS
2023-02-12;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-12;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-13;Valérie;individuel;0;RAS;False;1;RAS
2023-02-13;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-13;Augustine;individuel;0;RAS;False;1;RAS
2023-02-13;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-13;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-13;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-13;MARANS;groupe;1;RAS;False;1;RAS
2023-02-13;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-14;Augustine;individuel;0;RAS;False;1;RAS
2023-02-14;Pioupioute;individuel;1;RAS;False;1;RAS
2023-02-14;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-14;Cunégonde;individuel;0;RAS;False;1;RAS
2023-02-14;Valérie;individuel;0;RAS;False;1;RAS
2023-02-14;Rémiel;individuel;1;RAS;False;1;RAS
2023-02-14;Joséphine;individuel;0;RAS;False;1;RAS
2023-02-14;MARANS;groupe;0;RAS;False;1;RAS
2023-02-15;Valérie;individuel;0;RAS;False;1;RAS
2023-02-15;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-15;Saquiel;individuel;0;RAS;False;1;RAS
2023-02-15;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-15;Augustine;individuel;0;RAS;False;1;RAS
2023-02-15;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-15;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-15;MARANS;groupe;1;RAS;False;1;RAS
2023-02-16;Saquiel;individuel;1;cassé;False;1;RAS
2023-02-16;MARANS;groupe;1;RAS;False;1;RAS
2023-02-16;Cunégonde;individuel;1;RAS;False;1;RAS
2023-02-16;Pioupioute;individuel;0;RAS;False;1;RAS
2023-02-16;Valérie;individuel;0;RAS;False;1;RAS
2023-02-16;Rémiel;individuel;0;RAS;False;1;RAS
2023-02-16;Augustine;individuel;0;RAS;False;1;RAS
2023-02-16;Joséphine;individuel;1;RAS;False;1;RAS
2023-02-17;MARANS;groupe;0;RAS;False;1;RAS
2023-02-17;Valérie;individuel;0;RAS;False;1;RAS
2023-02-17;Saquiel;individuel;0;RAS;False;1;RAS
