Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques;niveau_observation;group_id
2023-01-30;Augustine;;0;1;RAS;False;;individuel;
2023-01-31;Cunégonde;x;1;1;RAS;False;;individuel;
2023-01-31;Saquiel;;0;1;RAS;False;;individuel;
2023-01-31;Pioupioute;;0;1;RAS;False;;individuel;
2023-01-31;Joséphine;;0;1;RAS;False;;individuel;
2023-01-31;Valérie;;0;1;RAS;False;;individuel;
2023-01-31;Rémiel;;0;1;RAS;False;;individuel;
2023-01-31;Augustine;;0;1;RAS;False;;individuel;
2023-01-31;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-01;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-01;Pioupioute;x? ;1;1;RAS;True;;individuel;
2023-02-01;Joséphine;;0;1;RAS;False;;individuel;
2023-02-01;Augustine;;0;1;RAS;False;;individuel;
2023-02-01;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-01;Saquiel;;0;1;RAS;False;;individuel;
2023-02-01;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-01;Valérie;;0;1;RAS;False;;individuel;
2023-02-02;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-02;Joséphine;;0;1;RAS;False;;individuel;
2023-02-02;Saquiel;x;1;1;RAS;False;;individuel;
2023-02-02;Valérie;;0;1;RAS;False;;individuel;
2023-02-02;Augustine;;0;1;RAS;False;;individuel;
2023-02-02;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-02;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-02;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-03;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-03;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-03;Augustine;;0;1;RAS;False;;individuel;
2023-02-03;Joséphine;;0;1;RAS;False;;individuel;
2023-02-03;Valérie;;0;1;RAS;False;;individuel;
2023-02-03;Rémiel;;0;1;RAS;False;;individuel;
2023-02-03;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-03;Saquiel;;0;1;RAS;False;;individuel;
2023-02-04;Rémiel;;0;1;RAS;False;;individuel;
2023-02-04;Augustine;;0;1;RAS;False;;individuel;
2023-02-04;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-04;Valérie;;0;1;RAS;False;;individuel;
2023-02-04;Joséphine;;0;1;RAS;False;;individuel;
2023-02-04;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-04;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-04;Saquiel;x;1;1;RAS;False;;individuel;
2023-02-05;Valérie;;0;1;RAS;False;;individuel;
2023-02-05;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-05;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-05;Joséphine;;0;1;RAS;False;;individuel;
2023-02-05;Augustine;;0;1;RAS;False;;individuel;
2023-02-05;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-05;Rémiel;;0;1;RAS;False;;individuel;
2023-02-05;Saquiel;;0;1;RAS;False;;individuel;
2023-02-06;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-06;Augustine;;0;1;RAS;False;;individuel;
2023-02-06;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-06;Rémiel;;0;1;RAS;False;;individuel;
2023-02-06;Joséphine;;0;1;RAS;False;;individuel;
2023-02-06;Valérie;;0;1;RAS;False;;individuel;
2023-02-06;Saquiel;;0;1;RAS;False;;individuel;
2023-02-06;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-07;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-07;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-07;Saquiel;;0;1;RAS;False;;individuel;
2023-02-07;Valérie;;0;1;RAS;False;;individuel;
2023-02-07;Augustine;zentonyl;0;1;RAS;False;zentonyl;individuel;
2023-02-07;Joséphine;;0;1;RAS;False;;individuel;
2023-02-07;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-07;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-08;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-08;Valérie;;0;1;RAS;False;;individuel;
2023-02-08;Augustine;;0;1;RAS;False;;individuel;
2023-02-08;Joséphine;;0;1;RAS;False;;individuel;
2023-02-08;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-08;Rémiel;;0;1;RAS;False;;individuel;
2023-02-08;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-08;Saquiel;x;1;1;RAS;False;;individuel;
2023-02-09;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-09;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-09;Valérie;;0;1;RAS;False;;individuel;
2023-02-09;Augustine;;0;1;RAS;False;;individuel;
2023-02-09;Saquiel;;0;1;RAS;False;;individuel;
2023-02-09;Joséphine;;0;1;RAS;False;;individuel;
2023-02-09;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-09;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-10;Rémiel;;0;1;RAS;False;;individuel;
2023-02-10;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-10;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-10;Valérie;;0;1;RAS;False;;individuel;
2023-02-10;Augustine;;0;1;RAS;False;;individuel;
2023-02-10;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-10;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-10;Saquiel;;0;1;RAS;False;;individuel;
2023-02-11;Rémiel;;0;1;RAS;False;;individuel;
2023-02-11;Augustine;antibio;0;1;RAS;False;antibio;individuel;
2023-02-11;Valérie;;0;1;RAS;False;;individuel;
2023-02-11;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-11;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-11;Saquiel;;0;1;RAS;False;;individuel;
2023-02-11;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-11;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-12;Valérie;;0;1;RAS;False;;individuel;
2023-02-12;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-12;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-12;Saquiel;;0;1;RAS;False;;individuel;
2023-02-12;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-12;Augustine;;0;1;RAS;False;;individuel;
2023-02-12;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-12;Rémiel;;0;1;RAS;False;;individuel;
2023-02-13;Valérie;;0;1;RAS;False;;individuel;
2023-02-13;Saquiel;;0;1;RAS;False;;individuel;
2023-02-13;Augustine;;0;1;RAS;False;;individuel;
2023-02-13;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-13;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-13;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-13;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-13;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-14;Augustine;;0;1;RAS;False;;individuel;
2023-02-14;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-14;Saquiel;;0;1;RAS;False;;individuel;
2023-02-14;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-14;Valérie;;0;1;RAS;False;;individuel;
2023-02-14;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-14;Joséphine;;0;1;RAS;False;;individuel;
2023-02-14;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-15;Valérie;;0;1;RAS;False;;individuel;
2023-02-15;Rémiel;;0;1;RAS;False;;individuel;
2023-02-15;Saquiel;;0;1;RAS;False;;individuel;
2023-02-15;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-15;Augustine;;0;1;RAS;False;;individuel;
2023-02-15;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-15;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-15;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-16;Saquiel;x(cassé);1;1;cassé;False;;individuel;
2023-02-16;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-16;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-16;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-16;Valérie;;0;1;RAS;False;;individuel;
2023-02-16;Rémiel;;0;1;RAS;False;;individuel;
2023-02-16;Augustine;;0;1;RAS;False;;individuel;
2023-02-16;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-17;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-17;Valérie;;0;1;RAS;False;;individuel;
2023-02-17;Saquiel;;0;1;RAS;False;;individuel;
2023-02-17;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-17;Rémiel;;0;1;RAS;False;;individuel;
2023-02-17;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-17;Pioupioute;x(cassé);1;1;cassé;False;;individuel;
2023-02-17;Augustine;fin antibio;0;1;RAS;False;fin antibio;individuel;
2023-02-18;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-18;Saquiel;;0;1;RAS;False;;individuel;
2023-02-18;Valérie;;0;1;RAS;False;;individuel;
2023-02-18;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-18;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-18;Rémiel;;0;1;RAS;False;;individuel;
2023-02-18;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-18;Augustine;;0;1;RAS;False;;individuel;
2023-02-19;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-19;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-19;Augustine;;0;1;RAS;False;;individuel;
2023-02-19;Saquiel;;0;1;RAS;False;;individuel;
2023-02-19;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-19;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-19;Valérie;;0;1;RAS;False;;individuel;
2023-02-19;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-20;Saquiel;;0;1;RAS;False;;individuel;
2023-02-20;Augustine;;0;1;RAS;False;;individuel;
2023-02-20;Pioupioute;antibio;0;1;RAS;False;antibio;individuel;
2023-02-20;Cunégonde;;0;1;RAS;False;;individuel;
2023-02-20;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-20;Valérie;;0;1;RAS;False;;individuel;
2023-02-20;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-20;Rémiel;;0;1;RAS;False;;individuel;
2023-02-21;Valérie;;0;1;RAS;False;;individuel;
2023-02-21;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-21;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-21;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-21;Saquiel;;0;1;RAS;False;;individuel;
2023-02-21;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-21;Augustine;;0;1;RAS;False;;individuel;
2023-02-21;Pioupioute;x;1;1;RAS;False;;individuel;
2023-02-22;Augustine;;0;1;RAS;False;;individuel;
2023-02-22;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-22;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-22;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-22;Rémiel;;0;1;RAS;False;;individuel;
2023-02-22;Saquiel;;0;1;RAS;False;;individuel;
2023-02-22;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-22;Valérie;;0;1;RAS;False;;individuel;
2023-02-23;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-23;Valérie;;0;1;RAS;False;;individuel;
2023-02-23;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-23;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-23;Rémiel;;0;1;RAS;False;;individuel;
2023-02-23;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-23;Augustine;;0;1;RAS;False;;individuel;
2023-02-23;Saquiel;;0;1;RAS;False;;individuel;
2023-02-24;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-24;Rémiel;;0;1;RAS;False;;individuel;
2023-02-24;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-24;MARANS;x;1;1;RAS;False;;groupe;MARANS
2023-02-24;Pioupioute;fin antibio;0;1;RAS;False;fin antibio;individuel;
2023-02-24;Saquiel;;0;1;RAS;False;;individuel;
2023-02-24;Valérie;;0;1;RAS;False;;individuel;
2023-02-24;Augustine;;0;1;RAS;False;;individuel;
2023-02-25;Valérie;;0;1;RAS;False;;individuel;
2023-02-25;Joséphine;x;1;1;RAS;False;;individuel;
2023-02-25;Rémiel;x;1;1;RAS;False;;individuel;
2023-02-25;Pioupioute;;0;1;RAS;False;;individuel;
2023-02-25;Augustine;;0;1;RAS;False;;individuel;
2023-02-25;Cunégonde;x;1;1;RAS;False;;individuel;
2023-02-25;MARANS;;0;1;RAS;False;;groupe;MARANS
2023-02-25;Saquiel;;0;1;RAS;False;;individuel;
