Date;Météo;Pluie(mm);T°C (12h-15h);Humidité;THI;Météo;Météo_1;Météo_2;Météo_3;Météo_4;Météo_1_Cat;Météo_2_Cat;Météo_3_Cat;Météo_4_Cat;Météo_Cat
2023-03-25;beau puis bruine;1.0;17.0;;;beau/bruine;beau;bruine;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-03-26;beau;0.0;19.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-27;pluie/éclaircie/vent;8.0;9.0;;;pluie/éclaircie/vent;pluie;éclaircie;vent;;PLUIE;ECLAIRCIES;VENT;;ECLAIRCIES|PLUIE|VENT
2023-03-28;giboulées;5.0;10.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-03-29;beau;0.0;16.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-30;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-03-31;beau;0.0;20.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-01;couvert/qq gouttes;0.0;12.0;;;couvert/qq gouttes;couvert;qq gouttes;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-04-02;couvert/vent/pluie;3.0;12.0;;;couvert/vent/pluie;couvert;vent;pluie;;COUVERT;VENT;PLUIE;;COUVERT|PLUIE|VENT
2023-04-03;pluie;15.0;9.0;;;pluie;pluie;;;;PLUIE;;;;PLUIE
2023-04-04;pluie/éclaircie;3.0;9.0;;;pluie/éclaircie;pluie;éclaircie;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-04-05;beau;0.0;15.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-06;beau;0.0;17.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-07;beau;0.0;13.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-08;beau;0.0;18.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-09;beau;0.0;20.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-10;beau;0.0;24.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-11;beau;0.0;19.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-12;beau;0.0;16.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-13;beau/pluie;5.0;17.0;;;beau/pluie;beau;pluie;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-04-14;giboulées;4.0;8.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-04-15;giboulées;3.0;11.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-04-16;giboulées/éclaircies;1.0;13.0;;;giboulées/éclaircies;giboulées;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-04-17;beau;0.0;16.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-18;beau;0.0;16.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-19;beau;0.0;17.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-20;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-21;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-22;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-23;couvert/bruine;0.0;13.0;;;couvert/bruine;couvert;bruine;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-04-24;beau/pluie;7.0;19.0;;;beau/pluie;beau;pluie;;;BEAU;PLUIE;;;BEAU|PLUIE
2023-04-25;beau;0.0;17.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-04-26;pluie;17.0;15.0;;;pluie;pluie;;;;PLUIE;;;;PLUIE
2023-04-27;couvert;2.0;18.0;;;couvert;couvert;;;;COUVERT;;;;COUVERT
2023-04-28;voilé/beau;0.0;23.0;;;voilé/beau;voilé;beau;;;COUVERT;BEAU;;;BEAU|COUVERT
2023-04-29;voilé;0.0;24.0;;;voilé;voilé;;;;COUVERT;;;;COUVERT
2023-04-30;couvert/pluie;0.0;17.0;;;couvert/pluie;couvert;pluie;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-05-01;giboulées;36.0;18.0;;;giboulées;giboulées;;;;PLUIE;;;;PLUIE
2023-05-02;giboulées/éclaircies;2.0;18.0;;;giboulées/éclaircies;giboulées;éclaircies;;;PLUIE;ECLAIRCIES;;;ECLAIRCIES|PLUIE
2023-05-03;beau;0.0;20.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-04;beau;0.0;25.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-05;beau;0.0;25.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-06;beau;0.0;23.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-07;beau/orage;0.0;24.0;;;beau/orage;beau;orage;;;BEAU;ORAGE;;;BEAU|ORAGE
2023-05-08;averses;8.0;17.0;;;averses;averses;;;;PLUIE;;;;PLUIE
2023-05-09;beau;0.0;22.0;;;beau;beau;;;;BEAU;;;;BEAU
2023-05-10;couvert/pluie;15.0;15.0;;;couvert/pluie;couvert;pluie;;;COUVERT;PLUIE;;;COUVERT|PLUIE
2023-05-11;pluie/giboulées;2.0;16.0;;;pluie/giboulées;pluie;giboulées;;;PLUIE;PLUIE;;;PLUIE|PLUIE
2023-05-12;éclaircies;0.0;15.0;;;éclaircies;éclaircies;;;;ECLAIRCIES;;;;ECLAIRCIES
