Date;Commentaires;œuf trouvé/date de la trouvaille
2024-07-25;1 œuf de marans trouvé dans le jardin;
2024-07-26;;
2024-07-27;Nina coup de chaud à 5h du mat/changement de poulailler le soir;
2024-07-28;;
2024-07-29;"alerte canicule/39;2°C relevé au Mas d’Azil";
2024-07-30;alerte canicule+poussière du Sahara;
2024-07-31;alerte canicule;
2024-08-01;;
2024-08-02;;
2024-08-03;1 œuf de marans trouvé dans le jardin (date de ponte?);
2024-08-04;;
2024-08-05;;
2024-08-06;;
2024-08-07;;
2024-08-08;;
2024-08-09;;
2024-08-10;;
2024-08-11;1 œuf de marans trouvé dans le jardin;
2024-08-12;;
2024-08-13;;
2024-08-14;;
2024-08-15;;
2024-08-16;;
2024-08-17;œuf de marans trouvé dans le jardin;
2024-08-18;;
2024-08-19;;
2024-08-20;;
2024-08-21;;
2024-08-22;;
2024-08-23;;
2024-08-24;alerte orange orages;
2024-08-25;;
2024-08-26;;
2024-08-27;frais le matin puis chaud;
2024-08-28;;
2024-08-29;;
2024-08-30;;
2024-08-31;;
2024-09-01;;
2024-09-02;;
2024-09-03;;
2024-09-04;;
2024-09-05;;
2024-09-06;;
2024-09-07;;
2024-09-08;;
2024-09-09;;
2024-09-10;;
2024-09-11;;
2024-09-12;;
2024-09-13;;
2024-09-14;;
2024-09-15;Albertine fatiguée par sa mue/vitamines+vermifuge pour tt le monde;
2024-09-16;;
2024-09-17;;
2024-09-18;;
2024-09-19;;
2024-09-20;;
2024-09-21;;
2024-09-22;;
2024-09-23;;
2024-09-24;;
2024-09-25;vent  ;
2024-09-26;;
2024-09-27;;
2024-09-28;;
2024-09-29;;
2024-09-30;;
2024-10-01;;
2024-10-02;;
2024-10-03;;
2024-10-04;Cunégonde de retour avec les autres;
2024-10-05;retrait du voile d’ombrage;
2024-10-06;;
2024-10-07;chaud en fin d’aprèm;
2024-10-08;;
2024-10-09;tempête en début de soirée;
2024-10-10;;
2024-10-11;;
2024-10-12;;
2024-10-13;;
2024-10-14;;
2024-10-15;;
2024-10-16;;
2024-10-17;vigilance orange pluie/inondations;
2024-10-18;avicoryl;
2024-10-19;;
2024-10-20;;
2024-10-21;;
2024-10-22;;
2024-10-23;;
2024-10-24;;
2024-10-25;;
2024-10-26;;
2024-10-27;;
2024-10-28;;
2024-10-29;;
2024-10-30;;
2024-10-31;;
2024-11-01;;
2024-11-02;;
2024-11-03;;
2024-11-04;;
2024-11-05;;
2024-11-06;;
2024-11-07;;
2024-11-08;;
2024-11-09;;
2024-11-10;;
2024-11-11;;
2024-11-12;;
2024-11-13;;
2024-11-14;temps agréable, brouillard cette nuit;
2024-11-15;gelée matinale;
2024-11-16;;
2024-11-17;venteux;
2024-11-18;;
2024-11-19;;
2024-11-20;vigilance jaune pluie/inondations;
2024-11-21;tempête la nuit;
2024-11-22;vent;
2024-11-23;gelée matinale;
2024-11-24;;
2024-11-25;vent/19°C à 7h30 du mat;
2024-11-26;;
2024-11-27;aliment;
2024-11-28;vitamines+avipar (vermifuge);
2024-11-29;même temps qu’hier/petite gelée matinale;
2024-11-30;;
2024-12-01;;
2024-12-02;;
2024-12-03;;
2024-12-04;;
2024-12-05;petite gelée matinale;
2024-12-06;vent;
2024-12-07;vigilance orange/pluie/grêle;
2024-12-08;tempête;
2024-12-09;;
2024-12-10;;
2024-12-11;;
2024-12-12;;
2024-12-13;;
2024-12-14;;
2024-12-15;;
2024-12-16;gelée matinale;
2024-12-17;gelée matinale;
2024-12-18;;
2024-12-19;tempête en fin de journée;
2024-12-20;;
2024-12-21;;
2024-12-22;tempête;
2024-12-23;vent;
2024-12-24;Cunégonde et Albertine enrhumées/avicoryl pour tt le monde;
2024-12-25;;
2024-12-26;;
