Date;Poule_brute;Ponte_brute;niveau_observation;group_id
2023-02-03;Joséphine;;individuel;
2023-02-03;Valérie;;individuel;
2023-02-03;Rémiel;;individuel;
2023-02-03;Pioupioute;;individuel;
2023-02-03;Saquiel;;individuel;
2023-02-04;Rémiel;;individuel;
2023-02-04;Augustine;;individuel;
2023-02-04;MARANS;;groupe;MARANS
2023-02-04;Valérie;;individuel;
2023-02-04;Joséphine;;individuel;
2023-02-04;Cunégonde;;individuel;
2023-02-04;Pioupioute;x;individuel;
2023-02-04;Saquiel;x;individuel;
2023-02-05;Valérie;;individuel;
2023-02-05;MARANS;;groupe;MARANS
2023-02-05;Pioupioute;;individuel;
2023-02-05;Joséphine;;individuel;
2023-02-05;Augustine;;individuel;
2023-02-05;Cunégonde;x;individuel;
2023-02-05;Rémiel;;individuel;
2023-02-05;Saquiel;;individuel;
2023-02-06;Cunégonde;;individuel;
2023-02-06;Augustine;;individuel;
2023-02-06;Pioupioute;x;individuel;
2023-02-06;Rémiel;;individuel;
2023-02-06;Joséphine;;individuel;
2023-02-06;Valérie;;individuel;
2023-02-06;Saquiel;;individuel;
2023-02-06;MARANS;;groupe;MARANS
2023-02-07;MARANS;x;groupe;MARANS
2023-02-07;Rémiel;x;individuel;
2023-02-07;Saquiel;;individuel;
2023-02-07;Valérie;;individuel;
2023-02-07;Augustine;zentonyl;individuel;
2023-02-07;Joséphine;;individuel;
2023-02-07;Cunégonde;x;individuel;
2023-02-07;Pioupioute;;individuel;
2023-02-08;MARANS;;groupe;MARANS
2023-02-08;Valérie;;individuel;
2023-02-08;Augustine;;individuel;
2023-02-08;Joséphine;;individuel;
2023-02-08;Cunégonde;;individuel;
2023-02-08;Rémiel;;individuel;
2023-02-08;Pioupioute;;individuel;
2023-02-08;Saquiel;x;individuel;
2023-02-09;Cunégonde;;individuel;
2023-02-09;Pioupioute;;individuel;
2023-02-09;Valérie;;individuel;
2023-02-09;Augustine;;individuel;
2023-02-09;Saquiel;;individuel;
2023-02-09;Joséphine;;individuel;
2023-02-09;Rémiel;x;individuel;
2023-02-09;MARANS;;groupe;MARANS
2023-02-10;Rémiel;;individuel;
2023-02-10;MARANS;x;groupe;MARANS
2023-02-10;Cunégonde;x;individuel;
2023-02-10;Valérie;;individuel;
2023-02-10;Augustine;;individuel;
2023-02-10;Joséphine;x;individuel;
2023-02-10;Pioupioute;;individuel;
2023-02-10;Saquiel;;individuel;
2023-02-11;Rémiel;;individuel;
2023-02-11;Augustine;antibio;individuel;
2023-02-11;Valérie;;individuel;
2023-02-11;Cunégonde;;individuel;
2023-02-11;Joséphine;x;individuel;
2023-02-11;Saquiel;;individuel;
2023-02-11;MARANS;;groupe;MARANS
2023-02-11;Pioupioute;x;individuel;
2023-02-12;Valérie;;individuel;
2023-02-12;Joséphine;x;individuel;
2023-02-12;MARANS;x;groupe;MARANS
2023-02-12;Saquiel;;individuel;
2023-02-12;Cunégonde;x;individuel;
2023-02-12;Augustine;;individuel;
2023-02-12;Pioupioute;x;individuel;
2023-02-12;Rémiel;;individuel;
2023-02-13;Valérie;;individuel;
2023-02-13;Saquiel;;individuel;
2023-02-13;Augustine;;individuel;
2023-02-13;Rémiel;x;individuel;
2023-02-13;Joséphine;x;individuel;
2023-02-13;Pioupioute;x;individuel;
2023-02-13;MARANS;x;groupe;MARANS
2023-02-13;Cunégonde;x;individuel;
2023-02-14;Augustine;;individuel;
2023-02-14;Pioupioute;x;individuel;
2023-02-14;Saquiel;;individuel;
2023-02-14;Cunégonde;;individuel;
2023-02-14;Valérie;;individuel;
2023-02-14;Rémiel;x;individuel;
2023-02-14;Joséphine;;individuel;
2023-02-14;MARANS;;groupe;MARANS
2023-02-15;Valérie;;individuel;
2023-02-15;Rémiel;;individuel;
2023-02-15;Saquiel;;individuel;
2023-02-15;Pioupioute;;individuel;
2023-02-15;Augustine;;individuel;
2023-02-15;Joséphine;x;individuel;
2023-02-15;Cunégonde;x;individuel;
2023-02-15;MARANS;x;groupe;MARANS
2023-02-16;Saquiel;x(cassé);individuel;
2023-02-16;MARANS;x;groupe;MARANS
2023-02-16;Cunégonde;x;individuel;
2023-02-16;Pioupioute;;individuel;
2023-02-16;Valérie;;individuel;
2023-02-16;Rémiel;;individuel;
2023-02-16;Augustine;;individuel;
2023-02-16;Joséphine;x;individuel;
2023-02-17;MARANS;;groupe;MARANS
2023-02-17;Valérie;;individuel;
2023-02-17;Saquiel;;individuel;
2023-02-17;Joséphine;x;individuel;
2023-02-17;Rémiel;;individuel;
2023-02-17;Cunégonde;;individuel;
2023-02-17;Pioupioute;x(cassé);individuel;
2023-02-17;Augustine;fin antibio;individuel;
2023-02-18;Cunégonde;x;individuel;
2023-02-18;Saquiel;;individuel;
2023-02-18;Valérie;;individuel;
2023-02-18;Joséphine;x;individuel;
2023-02-18;Pioupioute;;individuel;
2023-02-18;Rémiel;;individuel;
2023-02-18;MARANS;x;groupe;MARANS
2023-02-18;Augustine;;individuel;
2023-02-19;MARANS;x;groupe;MARANS
2023-02-19;Rémiel;x;individuel;
2023-02-19;Augustine;;individuel;
2023-02-19;Saquiel;;individuel;
2023-02-19;Joséphine;x;individuel;
2023-02-19;Pioupioute;x;individuel;
2023-02-19;Valérie;;individuel;
2023-02-19;Cunégonde;x;individuel;
2023-02-20;Saquiel;;individuel;
2023-02-20;Augustine;;individuel;
2023-02-20;Pioupioute;antibio;individuel;
2023-02-20;Cunégonde;;individuel;
2023-02-20;Joséphine;x;individuel;
2023-02-20;Valérie;;individuel;
2023-02-20;MARANS;;groupe;MARANS
2023-02-20;Rémiel;;individuel;
2023-02-21;Valérie;;individuel;
2023-02-21;MARANS;x;groupe;MARANS
2023-02-21;Cunégonde;x;individuel;
2023-02-21;Joséphine;x;individuel;
2023-02-21;Saquiel;;individuel;
2023-02-21;Rémiel;x;individuel;
2023-02-21;Augustine;;individuel;
2023-02-21;Pioupioute;x;individuel;
2023-02-22;Augustine;;individuel;
2023-02-22;Cunégonde;x;individuel;
2023-02-22;Joséphine;x;individuel;
2023-02-22;MARANS;x;groupe;MARANS
2023-02-22;Rémiel;;individuel;
2023-02-22;Saquiel;;individuel;
2023-02-22;Pioupioute;;individuel;
2023-02-22;Valérie;;individuel;
2023-02-23;MARANS;;groupe;MARANS
2023-02-23;Valérie;;individuel;
2023-02-23;Joséphine;x;individuel;
2023-02-23;Pioupioute;;individuel;
2023-02-23;Rémiel;;individuel;
2023-02-23;Cunégonde;x;individuel;
2023-02-23;Augustine;;individuel;
2023-02-23;Saquiel;;individuel;
2023-02-24;Joséphine;x;individuel;
2023-02-24;Rémiel;;individuel;
2023-02-24;Cunégonde;x;individuel;
2023-02-24;MARANS;x;groupe;MARANS
2023-02-24;Pioupioute;fin antibio;individuel;
2023-02-24;Saquiel;;individuel;
2023-02-24;Valérie;;individuel;
2023-02-24;Augustine;;individuel;
2023-02-25;Valérie;;individuel;
2023-02-25;Joséphine;x;individuel;
2023-02-25;Rémiel;x;individuel;
2023-02-25;Pioupioute;;individuel;
2023-02-25;Augustine;;individuel;
2023-02-25;Cunégonde;x;individuel;
2023-02-25;MARANS;;groupe;MARANS
2023-02-25;Saquiel;;individuel;
2023-02-26;MARANS;x;groupe;MARANS
2023-02-26;Rémiel;;individuel;
2023-02-26;Cunégonde;x;individuel;
2023-02-26;Pioupioute;x;individuel;
2023-02-26;Joséphine;;individuel;
2023-02-26;Valérie;;individuel;
2023-02-26;Saquiel;x(cassé);individuel;
2023-02-26;Augustine;;individuel;
2023-02-27;MARANS;x;groupe;MARANS
2023-02-27;Pioupioute;;individuel;
2023-02-27;Valérie;x;individuel;
2023-02-27;Cunégonde;x;individuel;
2023-02-27;Joséphine;x;individuel;
2023-02-27;Augustine;;individuel;
2023-02-27;Rémiel;;individuel;
2023-02-27;Saquiel;x(cassé);individuel;
2023-02-28;Saquiel;;individuel;
2023-02-28;Augustine;;individuel;
2023-02-28;Pioupioute;;individuel;
2023-02-28;Rémiel;;individuel;
2023-02-28;Joséphine;x;individuel;
2023-02-28;Valérie;;individuel;
2023-02-28;MARANS;;groupe;MARANS
2023-02-28;Cunégonde;x;individuel;
2023-03-01;Valérie;x;individuel;
2023-03-01;Augustine;;individuel;
2023-03-01;Pioupioute;x;individuel;
2023-03-01;Joséphine;x;individuel;
