Date;Poule_brute;Ponte_brute
2023-03-06;Saquiel;
2023-03-07;Augustine;
2023-03-07;Joséphine;x
2023-03-07;Saquiel;
2023-03-07;Valérie;x
2023-03-07;Pioupioute;
2023-03-07;Albertine;x
2023-03-07;Cunégonde;x
2023-03-07;Rémiel;x
2023-03-08;Saquiel;x(cassé)
2023-03-08;Albertine;
2023-03-08;Augustine;
2023-03-08;Pioupioute;x(cassé)
2023-03-08;Rémiel;
2023-03-08;Cunégonde;
2023-03-08;Valérie;
2023-03-08;Joséphine;x
2023-03-09;Augustine;
2023-03-09;Cunégonde;x
2023-03-09;Valérie;x
2023-03-09;Albertine;x
2023-03-09;Pioupioute;
2023-03-09;Saquiel;
2023-03-09;Rémiel;
2023-03-09;Joséphine;x
2023-03-10;Cunégonde;x
2023-03-10;Saquiel;
2023-03-10;Rémiel;
2023-03-10;Valérie;
2023-03-10;Pioupioute;
2023-03-10;Albertine;x
2023-03-10;Joséphine;x
2023-03-10;Augustine;
2023-03-11;Albertine;
2023-03-11;Pioupioute;x(cassé)
2023-03-11;Valérie;x
2023-03-11;Joséphine;x
2023-03-11;Rémiel;
2023-03-11;Augustine;
2023-03-11;Cunégonde;x
2023-03-11;Saquiel;
2023-03-12;Valérie;x
2023-03-12;Joséphine;x
2023-03-12;Cunégonde;x
2023-03-12;Augustine;
2023-03-12;Pioupioute;
2023-03-12;Rémiel;
2023-03-12;Saquiel;
2023-03-12;Albertine;x
2023-03-13;Cunégonde;
2023-03-13;Rémiel;x
2023-03-13;Saquiel;x(cassé)
2023-03-13;Joséphine;x
2023-03-13;Pioupioute;x(cassé)
2023-03-13;Valérie;x
2023-03-13;Albertine;
2023-03-13;Augustine;
2023-03-14;Cunégonde;x
2023-03-14;Valérie;x
2023-03-14;Augustine;
2023-03-14;Saquiel;
2023-03-14;Rémiel;x
2023-03-14;Albertine;x
2023-03-14;Joséphine;
2023-03-14;Pioupioute;
2023-03-15;Joséphine;x
2023-03-15;Valérie;x
2023-03-15;Saquiel;
2023-03-15;Cunégonde;x
2023-03-15;Rémiel;
2023-03-15;Augustine;
2023-03-15;Albertine;
2023-03-15;Pioupioute;
2023-03-16;Cunégonde;x
2023-03-16;Augustine;
2023-03-16;Pioupioute;x
2023-03-16;Albertine;x
2023-03-16;Saquiel;x(cassé)
2023-03-16;Valérie;x
2023-03-16;Joséphine;x
2023-03-16;Rémiel;x
2023-03-17;Pioupioute;x
2023-03-17;Albertine;x
2023-03-17;Saquiel;
2023-03-17;Cunégonde;
2023-03-17;Augustine;x
2023-03-17;Joséphine;x
2023-03-17;Rémiel;
2023-03-17;Valérie;x
2023-03-18;Valérie;
2023-03-18;Albertine;
2023-03-18;Augustine;
2023-03-18;Joséphine;x
2023-03-18;Pioupioute;x
2023-03-18;Cunégonde;x
2023-03-18;Rémiel;x
2023-03-18;Saquiel;
2023-03-19;Cunégonde;x
2023-03-19;Valérie;x
2023-03-19;Augustine;x
2023-03-19;Pioupioute;
2023-03-19;Saquiel;
2023-03-19;Rémiel;x
2023-03-19;Joséphine;x
2023-03-19;Albertine;x
2023-03-20;Augustine;
2023-03-20;Joséphine;x
2023-03-20;Saquiel;
2023-03-20;Cunégonde;x
2023-03-20;Rémiel;x?
2023-03-20;Albertine;x
2023-03-20;Valérie;x
2023-03-20;Pioupioute;
2023-03-21;Saquiel;
2023-03-21;Joséphine;x
2023-03-21;Valérie;
2023-03-21;Pioupioute;x
2023-03-21;Cunégonde;
2023-03-21;Augustine;x
2023-03-21;Albertine;
2023-03-21;Rémiel;
2023-03-22;Saquiel;
2023-03-22;Cunégonde;x
2023-03-22;Augustine;
2023-03-22;Rémiel;x
2023-03-22;Valérie;x
2023-03-22;Albertine;x
2023-03-22;Pioupioute;
2023-03-22;Joséphine;x
2023-03-23;Albertine;x
2023-03-23;Saquiel;
2023-03-23;Joséphine;x
2023-03-23;Valérie;
2023-03-23;Augustine;x
2023-03-23;Rémiel;
2023-03-23;Pioupioute;
2023-03-23;Cunégonde;x
2023-03-24;Cunégonde;x
2023-03-24;Valérie;x
2023-03-24;Rémiel;
2023-03-24;Joséphine;x
2023-03-24;Saquiel;x(cassé)
2023-03-24;Pioupioute;
2023-03-24;Albertine;
2023-03-24;Augustine;
2023-03-25;Cunégonde;x
2023-03-25;Joséphine;x
2023-03-25;Saquiel;
2023-03-25;Augustine;
2023-03-25;Albertine;x
2023-03-25;Pioupioute;
2023-03-25;Valérie;
2023-03-25;Rémiel;
2023-03-26;Saquiel;x(cassé)
2023-03-26;Albertine;x
2023-03-26;Pioupioute;x(cassé)
2023-03-26;Valérie;x
2023-03-26;Cunégonde;
2023-03-26;Joséphine;
2023-03-26;Rémiel;x
2023-03-26;Augustine;x
2023-03-27;Albertine;
2023-03-27;Valérie;
2023-03-27;Saquiel;
2023-03-27;Joséphine;x
2023-03-27;Pioupioute;
2023-03-27;Rémiel;
2023-03-27;Augustine;
2023-03-27;Cunégonde;x
2023-03-28;Albertine;x
2023-03-28;Cunégonde;x
2023-03-28;Joséphine;x
2023-03-28;Valérie;x
2023-03-28;Pioupioute;x(cassé)
2023-03-28;Rémiel;x
2023-03-28;Augustine;x
2023-03-28;Saquiel;
2023-03-29;Rémiel;
2023-03-29;Augustine;
2023-03-29;Saquiel;x(cassé)
2023-03-29;Albertine;x
2023-03-29;Valérie;
2023-03-29;Pioupioute;
2023-03-29;Joséphine;x
2023-03-29;Cunégonde;x
2023-03-30;Albertine;
2023-03-30;Joséphine;x
2023-03-30;Augustine;
2023-03-30;Rémiel;x
2023-03-30;Valérie;x
2023-03-30;Cunégonde;
2023-03-30;Saquiel;x
2023-03-30;Pioupioute;x(cassé)
2023-03-31;Rémiel;
2023-03-31;Augustine;
2023-03-31;Valérie;x
2023-03-31;Saquiel;
2023-03-31;Pioupioute;
2023-03-31;Cunégonde;x
2023-03-31;Joséphine;x
2023-03-31;Albertine;x
2023-04-01;Saquiel;x
2023-04-01;Rémiel;
2023-04-01;Valérie;
2023-04-01;Joséphine;x
2023-04-01;Pioupioute;x
2023-04-01;Cunégonde;x
2023-04-01;Albertine;
2023-04-01;Augustine;x
2023-04-02;Augustine;
2023-04-02;Pioupioute;
2023-04-02;Albertine;x
2023-04-02;Joséphine;x
2023-04-02;Valérie;x
2023-04-02;Rémiel;
2023-04-02;Saquiel;x
2023-04-02;Cunégonde;
2023-04-03;Rémiel;
2023-04-03;Valérie;
2023-04-03;Cunégonde;x?
2023-04-03;Albertine;x
2023-04-03;Saquiel;
2023-04-03;Augustine;
2023-04-03;Joséphine;x
2023-04-03;Pioupioute;
2023-04-04;Rémiel;x
2023-04-04;Pioupioute;
2023-04-04;Saquiel;
2023-04-04;Cunégonde;x
2023-04-04;Valérie;x
2023-04-04;Joséphine;x
2023-04-04;Albertine;
2023-04-04;Augustine;DCD
2023-04-05;Saquiel;
2023-04-05;Albertine;x
2023-04-05;Cunégonde;x
2023-04-05;Rémiel;x
2023-04-05;Augustine;
2023-04-05;Joséphine;x
2023-04-05;Valérie;x
2023-04-05;Pioupioute;
2023-04-06;Pioupioute;
2023-04-06;Cunégonde;x
2023-04-06;Valérie;
2023-04-06;Albertine;x
2023-04-06;Rémiel;
2023-04-06;Saquiel;
2023-04-06;Joséphine;x
2023-04-06;Augustine;
2023-04-07;Rémiel;x
2023-04-07;Albertine;
2023-04-07;Joséphine;
2023-04-07;Pioupioute;
2023-04-07;Saquiel;
2023-04-07;Valérie;x
2023-04-07;Cunégonde;x
2023-04-07;Augustine;
2023-04-08;Augustine;
2023-04-08;Saquiel;x
2023-04-08;Valérie;
2023-04-08;Albertine;x
2023-04-08;Rémiel;
2023-04-08;Cunégonde;x
2023-04-08;Joséphine;x
2023-04-08;Pioupioute;x
2023-04-09;Valérie;
2023-04-09;Cunégonde;x
2023-04-09;Rémiel;
2023-04-09;Saquiel;
2023-04-09;Pioupioute;
2023-04-09;Augustine;
2023-04-09;Joséphine;
2023-04-09;Albertine;x
2023-04-10;Pioupioute;x(cassé)
2023-04-10;Joséphine;x
2023-04-10;Cunégonde;x
2023-04-10;Augustine;
2023-04-10;Rémiel;
2023-04-10;Saquiel;x(cassé)
2023-04-10;Albertine;
2023-04-10;Valérie;x
2023-04-11;Valérie;x
2023-04-11;Albertine;x
2023-04-11;Augustine;
2023-04-11;Joséphine;x
2023-04-11;Rémiel;
2023-04-11;Pioupioute;
2023-04-11;Saquiel;x(cassé)
2023-04-11;Cunégonde;x
2023-04-12;Pioupioute;x(cassé)
2023-04-12;Saquiel;
2023-04-12;Albertine;
2023-04-12;Valérie;x
2023-04-12;Cunégonde;
2023-04-12;Rémiel;
2023-04-12;Joséphine;x
2023-04-12;Augustine;
2023-04-13;Cunégonde;x
2023-04-13;Saquiel;
2023-04-13;Rémiel;x
2023-04-13;Augustine;
2023-04-13;Albertine;x
2023-04-13;Pioupioute;x(cassé)
2023-04-13;Valérie;x
2023-04-13;Joséphine;
2023-04-14;Augustine;
2023-04-14;Pioupioute;x
2023-04-14;Saquiel;
2023-04-14;Cunégonde;x
2023-04-14;Valérie;x
2023-04-14;Albertine;
2023-04-14;Rémiel;
2023-04-14;Joséphine;x
2023-04-15;Rémiel;x
2023-04-15;Albertine;x
2023-04-15;Augustine;
2023-04-15;Joséphine;x
2023-04-15;Pioupioute;x(cassé)
2023-04-15;Valérie;
2023-04-15;Saquiel;
2023-04-15;Cunégonde;x
2023-04-16;Rémiel;
2023-04-16;Cunégonde;x
2023-04-16;Valérie;x
2023-04-16;Albertine;x
2023-04-16;Joséphine;x
2023-04-16;Pioupioute;x
2023-04-16;Saquiel;x(cassé)
2023-04-16;Augustine;
2023-04-17;Augustine;
2023-04-17;Albertine;
2023-04-17;Cunégonde;
2023-04-17;Saquiel;x(cassé)
2023-04-17;Rémiel;
2023-04-17;Joséphine;x
2023-04-17;Valérie;
2023-04-17;Pioupioute;
2023-04-18;Joséphine;x
2023-04-18;Albertine;x
2023-04-18;Pioupioute;x
2023-04-18;Augustine;
2023-04-18;Valérie;x
2023-04-18;Rémiel;x
2023-04-18;Saquiel;
2023-04-18;Cunégonde;x
2023-04-19;Cunégonde;x
2023-04-19;Rémiel;
2023-04-19;Albertine;
2023-04-19;Valérie;x
2023-04-19;Saquiel;x(cassé)
2023-04-19;Pioupioute;x
2023-04-19;Augustine;
2023-04-19;Joséphine;x
2023-04-20;Cunégonde;x
2023-04-20;Rémiel;x
2023-04-20;Saquiel;
2023-04-20;Pioupioute;x
2023-04-20;Joséphine;x
2023-04-20;Albertine;x
2023-04-20;Valérie;x
2023-04-20;Augustine;
2023-04-21;Saquiel;
2023-04-21;Valérie;x
2023-04-21;Rémiel;x
2023-04-21;Pioupioute;x
2023-04-21;Albertine;x
2023-04-21;Cunégonde;x
2023-04-21;Joséphine;x
2023-04-21;Augustine;
2023-04-22;Augustine;
2023-04-22;Pioupioute;
2023-04-22;Albertine;
2023-04-22;Saquiel;
2023-04-22;Rémiel;
2023-04-22;Cunégonde;
2023-04-22;Joséphine;x
2023-04-22;Valérie;x
2023-04-23;Joséphine;x
2023-04-23;Pioupioute;x
2023-04-23;Saquiel;
2023-04-23;Cunégonde;x
2023-04-23;Rémiel;
2023-04-23;Albertine;x
2023-04-23;Augustine;
2023-04-23;Valérie;
2023-04-24;Cunégonde;x
2023-04-24;Rémiel;
2023-04-24;Pioupioute;
2023-04-24;Albertine;
2023-04-24;Augustine;
2023-04-24;Joséphine;x
2023-04-24;Valérie;x
2023-04-24;Saquiel;x?
2023-04-25;Augustine;
2023-04-25;Cunégonde;x
2023-04-25;Pioupioute;x
2023-04-25;Valérie;
2023-04-25;Rémiel;
2023-04-25;Joséphine;x
2023-04-25;Saquiel;
2023-04-25;Albertine;x
2023-04-26;Augustine;
2023-04-26;Valérie;x
2023-04-26;Joséphine;x
2023-04-26;Saquiel;
2023-04-26;Cunégonde;
2023-04-26;Rémiel;x
2023-04-26;Pioupioute;x
2023-04-26;Albertine;x
2023-04-27;Pioupioute;x
2023-04-27;Valérie;
2023-04-27;Albertine;
2023-04-27;Saquiel;
2023-04-27;Rémiel;
2023-04-27;Cunégonde;x
2023-04-27;Joséphine;x
2023-04-27;Augustine;
2023-04-28;Cunégonde;x
2023-04-28;Rémiel;x
2023-04-28;Albertine;x
2023-04-28;Pioupioute;
2023-04-28;Joséphine;
2023-04-28;Augustine;
2023-04-28;Valérie;x
2023-04-28;Saquiel;
2023-04-29;Joséphine;x
2023-04-29;Cunégonde;x
2023-04-29;Rémiel;
2023-04-29;Albertine;
2023-04-29;Saquiel;
2023-04-29;Augustine;
2023-04-29;Pioupioute;x
2023-04-29;Valérie;x
2023-04-30;Albertine;x
2023-04-30;Augustine;
2023-04-30;Cunégonde;
2023-04-30;Valérie;x
2023-04-30;Joséphine;
2023-04-30;Rémiel;
2023-04-30;Pioupioute;
2023-04-30;Saquiel;
2023-05-01;Cunégonde;x(cassé)
2023-05-01;Pioupioute;x
2023-05-01;Albertine;x
