Date;Poule_brute;Ponte_brute;Ponte;Effectif;Etat_oeuf;Doute;Remarques
2023-06-29;Albertine;x;1;1;RAS;False;
2023-06-30;Albertine;;0;1;RAS;False;
2023-07-01;Albertine;;0;1;RAS;False;
2023-07-02;Albertine;;0;1;RAS;False;
2023-07-03;Albertine;x;1;1;RAS;False;
2023-07-04;Albertine;x;1;1;RAS;False;
2023-07-05;Albertine;;0;1;RAS;False;
2023-07-06;Albertine;x;1;1;RAS;False;
2023-07-07;Albertine;;0;1;RAS;False;
2023-07-08;Albertine;x;1;1;RAS;False;
2023-07-09;Albertine;;0;1;RAS;False;
2023-07-10;Albertine;;0;1;RAS;False;
2023-07-11;Albertine;;0;1;RAS;False;
2023-07-12;Albertine;x(cassé);1;1;cassé;False;
2023-07-13;Albertine;;0;1;RAS;False;
2023-07-14;Albertine;x;1;1;RAS;False;
2023-07-15;Albertine;;0;1;RAS;False;
2023-07-16;Albertine;;0;1;RAS;False;
2023-07-17;Albertine;;0;1;RAS;False;
2023-07-18;Albertine;;0;1;RAS;False;
2023-07-19;Albertine;;0;1;RAS;False;
2023-07-20;Albertine;;0;1;RAS;False;
2023-07-21;Albertine;x;1;1;RAS;False;
2023-07-22;Albertine;;0;1;RAS;False;
2023-07-23;Albertine;;0;1;RAS;False;
2023-07-24;Albertine;;0;1;RAS;False;
2023-07-25;Albertine;;0;1;RAS;False;
2023-07-26;Albertine;;0;1;RAS;False;
2023-07-27;Albertine;;0;1;RAS;False;
2023-07-28;Albertine;;0;1;RAS;False;
2023-07-29;Albertine;;0;1;RAS;False;
2023-07-30;Albertine;x;1;1;RAS;False;
2023-07-31;Albertine;;0;1;RAS;False;
2023-08-01;Albertine;;0;1;RAS;False;
2023-08-02;Albertine;;0;1;RAS;False;
2023-08-03;Albertine;;0;1;RAS;False;
2023-08-04;Albertine;;0;1;RAS;False;
2023-08-05;Albertine;;0;1;RAS;False;
2023-08-06;Albertine;mue;0;1;RAS;False;Mue
2023-08-07;Albertine;;0;1;RAS;False;
2023-08-08;Albertine;;0;1;RAS;False;
2023-08-09;Albertine;;0;1;RAS;False;
2023-08-10;Albertine;;0;1;RAS;False;
2023-08-11;Albertine;;0;1;RAS;False;
2023-08-12;Albertine;;0;1;RAS;False;
2023-08-13;Albertine;;0;1;RAS;False;
2023-08-14;Albertine;;0;1;RAS;False;
2023-08-15;Albertine;;0;1;RAS;False;
2023-08-16;Albertine;;0;1;RAS;False;
2023-08-17;Albertine;;0;1;RAS;False;
2023-08-18;Albertine;;0;1;RAS;False;
2023-08-19;Albertine;;0;1;RAS;False;
2023-08-20;Albertine;;0;1;RAS;False;
2023-08-21;Albertine;;0;1;RAS;False;
2023-08-22;Albertine;;0;1;RAS;False;
2023-08-23;Albertine;;0;1;RAS;False;
2023-08-24;Albertine;;0;1;RAS;False;
2023-08-25;Albertine;;0;1;RAS;False;
2023-08-26;Albertine;;0;1;RAS;False;
2023-08-27;Albertine;;0;1;RAS;False;
2023-08-28;Albertine;;0;1;RAS;False;
2023-08-29;Albertine;;0;1;RAS;False;
2023-08-30;Albertine;;0;1;RAS;False;
2023-08-31;Albertine;;0;1;RAS;False;
2023-09-01;Albertine;;0;1;RAS;False;
2023-09-02;Albertine;;0;1;RAS;False;
2023-09-03;Albertine;;0;1;RAS;False;
2023-09-04;Albertine;;0;1;RAS;False;
2023-09-05;Albertine;;0;1;RAS;False;
2023-09-06;Albertine;;0;1;RAS;False;
2023-09-07;Albertine;;0;1;RAS;False;
2023-09-08;Albertine;;0;1;RAS;False;
2023-09-09;Albertine;;0;1;RAS;False;
2023-09-10;Albertine;;0;1;RAS;False;
2023-09-11;Albertine;x;1;1;RAS;False;
2023-09-12;Albertine;;0;1;RAS;False;
2023-09-13;Albertine;x;1;1;RAS;False;
