Date;Ponte_brute;niveau_observation;group_id;Ponte;Etat_oeuf;Doute;Effectif;Remarques;Poule_brute
2023-01-20;;individuel;;0;RAS;False;1;;Valérie
2023-01-20;;individuel;;0;RAS;False;1;;Rémiel
2023-01-20;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-21;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-21;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-21;;individuel;;0;RAS;False;1;;Valérie
2023-01-21;;individuel;;0;RAS;False;1;;Rémiel
2023-01-21;;individuel;;0;RAS;False;1;;Saquiel
2023-01-21;x;individuel;MARANS;1;RAS;False;1;;Albertine
2023-01-21;;individuel;;0;RAS;False;1;;Augustine
2023-01-21;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-22;;individuel;;0;RAS;False;1;;Valérie
2023-01-22;;individuel;;0;RAS;False;1;;Augustine
2023-01-22;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-22;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-22;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-22;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-22;;individuel;;0;RAS;False;1;;Rémiel
2023-01-22;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-23;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-23;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-23;;individuel;;0;RAS;False;1;;Augustine
2023-01-23;;individuel;;0;RAS;False;1;;Saquiel
2023-01-23;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-23;;individuel;;0;RAS;False;1;;Rémiel
2023-01-23;;individuel;;0;RAS;False;1;;Valérie
2023-01-23;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-24;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-24;;individuel;;0;RAS;False;1;;Augustine
2023-01-24;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-24;;individuel;;0;RAS;False;1;;Rémiel
2023-01-24;;individuel;;0;RAS;False;1;;Valérie
2023-01-24;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-24;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-24;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-25;;individuel;;0;RAS;False;1;;Valérie
2023-01-25;;individuel;;0;RAS;False;1;;Rémiel
2023-01-25;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-25;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-25;;individuel;;0;RAS;False;1;;Augustine
2023-01-25;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-25;;individuel;;0;RAS;False;1;;Joséphine
2023-01-25;;individuel;;0;RAS;False;1;;Saquiel
2023-01-26;x;individuel;;1;RAS;False;1;;Cunégonde
2023-01-26;;individuel;;0;RAS;False;1;;Rémiel
2023-01-26;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-26;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-26;;individuel;;0;RAS;False;1;;Valérie
2023-01-26;x;individuel;;1;RAS;False;1;;Joséphine
2023-01-26;;individuel;;0;RAS;False;1;;Augustine
2023-01-26;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-27;;individuel;;0;RAS;False;1;;Joséphine
2023-01-27;;individuel;;0;RAS;False;1;;Augustine
2023-01-27;;individuel;;0;RAS;False;1;;Cunégonde
2023-01-27;x;individuel;;1;RAS;False;1;;Saquiel
2023-01-27;;individuel;;0;RAS;False;1;;Valérie
2023-01-27;;individuel;;0;RAS;False;1;;Pioupioute
2023-01-27;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-27;;individuel;;0;RAS;False;1;;Rémiel
2023-01-28;;individuel;MARANS;0;RAS;False;1;;Albertine
2023-01-28;;individuel;;0;RAS;False;1;;Augustine
