Date,T°C (12-15h),T°C poulailler,Pluie (0 = non renseigné),Météo,commentaires,Nom de la poule,Ponte,Etat de l'oeuf,Evènement,Nombre d'oeufs
02/05/2023,18,,2,giboulées/éclaircies,,Joséphine,x,RAS,RAS,1
03/05/2023,20,,0,beau,,Joséphine,x,RAS,RAS,1
04/05/2023,25,,0,beau,,Joséphine,x,RAS,RAS,1
05/05/2023,25,,0,beau,,Joséphine,,no egg,RAS,0
06/05/2023,23,,0,beau,,Joséphine,x,RAS,RAS,1
07/05/2023,24,,0,beau/orage,1 œuf trouvé dans le poulailler cassé,Joséphine,x,RAS,RAS,1
08/05/2023,17,,8,averses,,Joséphine,x,RAS,RAS,1
09/05/2023,22,,0,beau,,Joséphine,x,RAS,RAS,1
10/05/2023,15,,15,couvert/pluie,,Joséphine,x,RAS,RAS,1
11/05/2023,16,,2,pluie/giboulées,,Joséphine,,no egg,RAS,0
12/05/2023,15,,0,éclaircies,,Joséphine,x,RAS,RAS,1
13/05/2023,17,,6,pluie/éclaircies,,Joséphine,x,RAS,RAS,1
14/05/2023,13,,15,giboulées,,Joséphine,x,RAS,RAS,1
15/05/2023,15,,10,"averses, éclaircies",,Joséphine,x,RAS,RAS,1
16/05/2023,11,,6,averses,"petit trou dans certains œufs, à surveiller si poules ou pie",Joséphine,x,RAS,RAS,1
17/05/2023,13,,2,pluie/éclaircie,,Joséphine,x,RAS,RAS,1
18/05/2023,18,,0,beau,,Joséphine,,no egg,RAS,0
19/05/2023,14,,0,couvert,,Joséphine,,no egg,RAS,0
20/05/2023,10,,4,pluie/couvert,,Joséphine,,no egg,RAS,0
21/05/2023,15,,0,éclaircies/beau,,Joséphine,x,RAS,RAS,1
22/05/2023,16,,0,couvert/beau,,Joséphine,x,RAS,RAS,1
23/05/2023,18,,4,pluie/éclaircies,,Joséphine,,no egg,RAS,0
24/05/2023,22,,6,temps lourd/orages,,Joséphine,x,RAS,RAS,1
25/05/2023,20,,25,lourd/orages,,Joséphine,x,RAS,RAS,1
26/05/2023,17,,6,couvert/pluie,,Joséphine,x,RAS,RAS,1
27/05/2023,23,,0,beau,,Joséphine,x,RAS,RAS,1
28/05/2023,27,,0,beau,,Joséphine,x,RAS,RAS,1
29/05/2023,27,,0,beau,,Joséphine,x,RAS,RAS,1
30/05/2023,27,,24,beau/orage fort,,Joséphine,,no egg,RAS,0
31/05/2023,26,,0,éclaircies,,Joséphine,x,RAS,RAS,1
01/06/2023,24,,5,beau/pluie,,Joséphine,,no egg,RAS,0
02/06/2023,22,,1,pluie/éclaircies,,Joséphine,x,RAS,RAS,1
03/06/2023,23,,0,beau,,Joséphine,x,RAS,RAS,1
04/06/2023,25,,2,beau/orage,changement de poulailler,Joséphine,x,RAS,RAS,1
05/06/2023,26,,0,beau,,Joséphine,x,RAS,RAS,1
06/06/2023,25,,5,beau/pluie,,Joséphine,x,RAS,RAS,1
07/06/2023,26,,0,beau,,Joséphine,x,RAS,RAS,1
08/06/2023,27,,0,beau,,Joséphine,,no egg,RAS,0
09/06/2023,27,,0,beau/orageux,,Joséphine,x,RAS,RAS,1
10/06/2023,26,,3,couvert/orage,,Joséphine,x,RAS,RAS,1
11/06/2023,27,,0,beau/orageux,,Joséphine,x,RAS,RAS,1
12/06/2023,25,,1,beau/orage,,Joséphine,x,RAS,RAS,1
13/06/2023,27,,31,couvert/orage,les 2 œufs ont été cassé par une poule ou une bête,Joséphine,x(cassé),cassé,RAS,1
14/06/2023,24,,23,beau/orage,"l'œuf d'Albertine très fragile, elle a des vers en plus/ Avipar/Avipou",Joséphine,x,RAS,RAS,1
15/06/2023,21,,3,pluie/éclaircie,,Joséphine,,no egg,RAS,0
16/06/2023,25,,0,couvert/beau,Saquiel malade/doxycycline,Joséphine,x,RAS,RAS,1
17/06/2023,26,,0,beau,,Joséphine,x,RAS,RAS,1
18/06/2023,30,,11,beau/orage,0 œuf,Joséphine,,no egg,RAS,0
19/06/2023,27,,0,mitigé/,,Joséphine,x,RAS,RAS,1
20/06/2023,22,,0,couvert/beau,quelques gouttes,Joséphine,x,RAS,RAS,1
21/06/2023,25,,0,lourd,œuf de Valérie très fragile trouvé ds poulailler,Joséphine,,no egg,RAS,0
22/06/2023,20,,7,orage,,Joséphine,x,RAS,RAS,1
23/06/2023,23,,6,pluie/éclaircies,Cunégonde veut couver,Joséphine,x,RAS,RAS,1
24/06/2023,28,,0,beau,,Joséphine,,no egg,RAS,0
25/06/2023,28,24,0,beau,,Joséphine,,no egg,RAS,0
26/06/2023,32,28,0,beau,,Joséphine,x,RAS,RAS,1
27/06/2023,21,22,0,couvert,,Joséphine,x,RAS,RAS,1
28/06/2023,27,24,0,nuageux,,Joséphine,x,RAS,RAS,1
