Date,T°C (12-15h),T°C poulailler,Pluie,Météo,commentaires
25/08/2023,"40,5",28,0,canicule,c+Gasco
26/08/2023,23,20,3,pluie/couvert,
27/08/2023,19,17,8,pluie,
28/08/2023,16,14,37,pluie/éclaircies,
29/08/2023,17,16,5,pluie/éclaircies,
30/08/2023,20,15,0,éclaircies/vent,
31/08/2023,22,16,1,éclaircies/averses,
01/09/2023,28,17,0,beau,
02/09/2023,31,20,0,beau,
03/09/2023,22,18,0,couvert,trouvé un oeuf minuscule Saquiel ou Albertine
04/09/2023,26,21,0,beau/voilé,
05/09/2023,28,22,0,voilé/vent,sable du Sahara dans l'air
06/09/2023,29,21,0,voilé,sable du Sahara dans l'air
07/09/2023,27,23,0,voilé,sable du Sahara dans l'air
08/09/2023,30,20,0,beau,
09/09/2023,29,21,0,beau,
10/09/2023,30,22,0,beau,
11/09/2023,30,20,0,beau,
12/09/2023,30,20,0,couvert/éclaircies,
13/09/2023,24,17,22,mitigé/orages,
14/09/2023,25,17,0,éclaircies,
15/09/2023,28,18,0,beau,
16/09/2023,28,17,3,beau/orageux/pluie,
17/09/2023,28,21,0,beau,
18/09/2023,25,19,3,beau/orages,
19/09/2023,26,17,6,beau/orages,
20/09/2023,25,15,0,beau,
21/09/2023,27,18,0,couvert/beau,
22/09/2023,20,14,9,couvert/pluie,
23/09/2023,20,12,0,éclaircies/vent,
24/09/2023,23,13,0,éclaircies,
25/09/2023,24,15,0,beau,
26/09/2023,27,15,0,beau,
27/09/2023,28,16,0,beau,
28/09/2023,30,19,0,beau,
29/09/2023,31,20,0,beau,
30/09/2023,30,20,0,beau,
01/10/2023,30,19,0,beau,
02/10/2023,32,20,0,beau,
03/10/2023,31,20,0,beau/vent,
04/10/2023,22,19,0,couvert,
05/10/2023,28,16,0,nuageux,
06/10/2023,28,16,0,beau,
07/10/2023,28,17,0,beau,
08/10/2023,30,15,0,beau,
09/10/2023,29,17,0,beau,
10/10/2023,29,16,0,beau,
11/10/2023,30,18,0,beau,
12/10/2023,31,17,0,beau,
13/10/2023,30,18,0,beau,
14/10/2023,29,18,0,beau,
15/10/2023,24,16,5,couvert/pluie,
16/10/2023,19,11,0,éclaircies,
17/10/2023,19,15,0,éclaircies,
18/10/2023,26,17,0,beau/vent,
19/10/2023,26,17,3,couvert/pluie,
20/10/2023,25,17,13,couvert/pluie,
21/10/2023,20,14,3,éclaircies/pluie,
22/10/2023,19,11,0,beau,
23/10/2023,15,13,0,maussade,
24/10/2023,20,14,0,éclaircies,Albertine malade/rhume
25/10/2023,20,11,0,pluie/éclaircies,avicoryl
26/10/2023,18,15,1,couvert/pluie,
27/10/2023,15,13,8,couvert/pluie,
28/10/2023,18,10,0,beau,
29/10/2023,19,14,0,beau,
30/10/2023,17,14,0,couvert,
31/10/2023,15,10,9,couvert/pluie,
01/11/2023,19,10,0,beau,
02/11/2023,19,10,5,éclaircies/pluie,
03/11/2023,13,8,17,pluie,
04/11/2023,10,9,5,pluie,
05/11/2023,13,9,6,pluie/éclaircies,
06/11/2023,19,9,0,beau,
07/11/2023,12,8,8,averses/pluie,
08/11/2023,17,5,0,beau,
09/11/2023,19,6,0,beau,petite gelée matinale
10/11/2023,13,9,6,pluie/beau,
11/11/2023,11,9,7,pluie/éclaircies,
12/11/2023,12,12,0,pluie,
13/11/2023,17,11,0,couvert/éclaircies,
14/11/2023,24,12,0,beau,
15/11/2023,24,14,5,beau/pluie,
16/11/2023,16,10,5,pluie/éclaircies,
17/11/2023,16,12,2,couvert/pluie,
18/11/2023,15,9,0,éclaircies,
19/11/2023,20,,0,beau,environ 20°C
20/11/2023,21,10,0,beau,
21/11/2023,14,9,9,couvert/pluie,
22/11/2023,9,oubli,10,pluie,
23/11/2023,9,7,3,pluie/éclaircies/vent,
24/11/2023,11,5,0,beau/vent,
25/11/2023,7,7,0,gris/vent,
26/11/2023,9,4,0,gris ,
27/11/2023,12,0,0,beau,belle gelée matinale -3°c
28/11/2023,13,10,27,éclaircies/pluie/vent,
29/11/2023,9,7,0,éclaircies,
30/11/2023,16,9,0,éclaircies,
01/12/2023,11,8,6,bruine/pluie,
02/12/2023,8,5,14,pluie,
03/12/2023,6,4,2,pluie/éclaircies,
04/12/2023,11,3,0,beau,gelée matinale
05/12/2023,12,7,"0,5",éclaircies/pluie,
06/12/2023,9,6,0,éclaircies/vent,
07/12/2023,10,2,0,beau,
08/12/2023,14,6,0,beau,
09/12/2023,9,6,18,pluie/vent,
10/12/2023,14,15,1,pluie/éclaircies,
11/12/2023,18,11,0,beau/couvert,
12/12/2023,19,10,0,beau,
13/12/2023,16,9,3,voilé/pluie,
14/12/2023,10,7,20,averses/pluie/vent,
15/12/2023,10,7,1,averses/éclaircies/vent,
