Date;T°C (12h-15h);Pluie(mm);Météo;Humidité;Météo_1;Météo_2;Météo_3;Météo_4;Type_Météo_1;Type_Météo_2;Type_Météo_3;Type_Météo_4
2024-06-08;25.0;0.0;couvert/lourd;0.6;couvert;lourd;;;COUVERT;CHAUD;NON RENSEIGNE;NON RENSEIGNE
2024-06-09;16.0;1.0;pluie/couvert;0.82;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-06-10;23.0;0.0;couvert/éclaircies;0.38;couvert;éclaircies;;;COUVERT;ECLAIRCIES;NON RENSEIGNE;NON RENSEIGNE
2024-06-11;19.0;1.0;bruine/nuageux;0.52;bruine;nuageux;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-06-12;16.0;0.0;couvert/qq gouttes;0.56;couvert;qq gouttes;;;COUVERT;PLUIE;NON RENSEIGNE;NON RENSEIGNE
2024-06-13;22.0;0.0;beau;0.43;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-14;25.0;0.0;beau;0.37;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-15;16.0;7.0;pluie/couvert;0.68;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-06-16;27.0;0.0;beau;0.39;beau;;;;BEAU;NON RENSEIGNE;NON RENSEIGNE;NON RENSEIGNE
2024-06-17;19.0;0.0;beau/couvert;0.42;beau;couvert;;;BEAU;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-06-18;26.0;0.0;qq nuages/beau/vent;0.55;qq nuages;beau;vent;;NUAGES;BEAU;VENT;NON RENSEIGNE
2024-06-19;20.0;11.0;couvert/bruine/orage;0.72;couvert;bruine;orage;;COUVERT;PLUIE;ORAGE;NON RENSEIGNE
2024-06-20;17.0;9.0;pluie/couvert;0.73;pluie;couvert;;;PLUIE;COUVERT;NON RENSEIGNE;NON RENSEIGNE
2024-06-21;18.0;0.0;assez beau/ vent;;assez beau;vent;;;BEAU;VENT;NON RENSEIGNE;NON RENSEIGNE
