Date,Nom de la poule,Ponte,Nombre d'oeufs,Etat de l'oeuf,Evènement
23/12/2023,Joséphine,,0,no egg,RAS
24/12/2023,Joséphine,,0,no egg,RAS
25/12/2023,Joséphine,,0,no egg,RAS
26/12/2023,Joséphine,,0,no egg,RAS
27/12/2023,Joséphine,,0,no egg,RAS
28/12/2023,Joséphine,,0,no egg,RAS
29/12/2023,Joséphine,,0,no egg,RAS
30/12/2023,Joséphine,,0,no egg,RAS
31/12/2023,Joséphine,,0,no egg,RAS
01/01/2023,Albertine,,0,no egg,RAS
02/01/2023,Albertine,,0,no egg,RAS
03/01/2023,Albertine,,0,no egg,RAS
04/01/2023,Albertine,,0,no egg,RAS
05/01/2023,Albertine,,0,no egg,RAS
06/01/2023,Albertine,,0,no egg,RAS
07/01/2023,Albertine,,0,no egg,RAS
08/01/2023,Albertine,,0,no egg,RAS
09/01/2023,Albertine,,0,no egg,RAS
10/01/2023,Albertine,,0,no egg,RAS
11/01/2023,Albertine,x,1,RAS,RAS
12/01/2023,Albertine,,0,no egg,RAS
13/01/2023,Albertine,,0,no egg,RAS
14/01/2023,Albertine,x,1,RAS,RAS
15/01/2023,Albertine,,0,no egg,RAS
16/01/2023,Albertine,x,1,RAS,RAS
17/01/2023,Albertine,,0,no egg,RAS
18/01/2023,Albertine,,0,no egg,RAS
19/01/2023,Albertine,x,1,RAS,RAS
20/01/2023,Albertine,,0,no egg,RAS
21/01/2023,Albertine,x,1,RAS,RAS
22/01/2023,Albertine,,0,no egg,RAS
23/01/2023,Albertine,,0,no egg,RAS
24/01/2023,Albertine,,0,no egg,RAS
25/01/2023,Albertine,,0,no egg,RAS
26/01/2023,Albertine,,0,no egg,RAS
27/01/2023,Albertine,,0,no egg,RAS
28/01/2023,Albertine,,0,no egg,RAS
29/01/2023,Albertine,,0,no egg,RAS
30/01/2023,Albertine,,0,no egg,RAS
31/01/2023,Albertine,,0,no egg,RAS
01/02/2023,Albertine,,0,no egg,RAS
02/02/2023,Albertine,,0,no egg,RAS
03/02/2023,Albertine,,0,no egg,RAS
04/02/2023,Albertine,,0,no egg,RAS
05/02/2023,Albertine,,0,no egg,RAS
06/02/2023,Albertine,,0,no egg,RAS
07/02/2023,Albertine,x,1,RAS,RAS
08/02/2023,Albertine,,0,no egg,RAS
09/02/2023,Albertine,,0,no egg,RAS
10/02/2023,Albertine,x,1,RAS,RAS
11/02/2023,Albertine,,0,no egg,RAS
12/02/2023,Albertine,x,1,RAS,RAS
13/02/2023,Albertine,x,1,RAS,RAS
14/02/2023,Albertine,,0,no egg,RAS
15/02/2023,Albertine,x,1,RAS,RAS
16/02/2023,Albertine,x,1,RAS,RAS
17/02/2023,Albertine,,0,no egg,RAS
18/02/2023,Albertine,x,1,RAS,RAS
19/02/2023,Albertine,x,1,RAS,RAS
20/02/2023,Albertine,,0,no egg,RAS
21/02/2023,Albertine,x,1,RAS,RAS
22/02/2023,Albertine,x,1,RAS,RAS
23/02/2023,Albertine,,0,no egg,RAS
24/02/2023,Albertine,x,1,RAS,RAS
25/02/2023,Albertine,,0,no egg,RAS
26/02/2023,Albertine,x,1,RAS,RAS
27/02/2023,Albertine,x,1,RAS,RAS
28/02/2023,Albertine,,0,no egg,RAS
01/03/2023,Albertine,x,1,RAS,RAS
02/03/2023,Albertine,,0,no egg,RAS
03/03/2023,Albertine,x,1,RAS,RAS
04/03/2023,Albertine,,0,no egg,RAS
05/03/2023,Albertine,x,1,RAS,RAS
06/03/2023,Albertine,,0,no egg,RAS
07/03/2023,Albertine,x,1,RAS,RAS
08/03/2023,Albertine,,0,no egg,RAS
