Date;Texte;Année;Catégorie;Poules_Cités
2024-01-22;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-01-22;pluie la nuit;2024;Météo / Environnement;Aucune
2024-01-27;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-01-31;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-02-02;très humide ce matin;2024;Météo / Environnement;Aucune
2024-02-02;sol mouillé;2024;Anomalies Œufs;Aucune
2024-02-04;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-02-05;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-02-09;14°C vers 8h du mat, 19°C à 15h30;2024;Météo / Environnement;Aucune
2024-02-15;T°C relevée à 11h du mat;2024;Météo / Environnement;Aucune
2024-02-20;T°C relevée à 11h du mat;2024;Météo / Environnement;Aucune
2024-02-28;Valérie malade - début traitement Valérie;2024;Santé / Soins;Valérie
2024-03-04;dernier jour de traitement Valérie;2024;Santé / Soins;Valérie
2024-03-09;orage sec dans la nuit;2024;Météo / Environnement;Aucune
2024-03-19;24°C vers 16h;2024;Météo / Environnement;Aucune
2024-03-20;vent toute la journée;2024;Météo / Environnement;Aucune
2024-03-31;1 œuf de marans trouvé dans le poulailler;2024;Localisation Œufs;Marans
2024-04-06;sable du Sahara;2024;Météo / Environnement;Aucune
2024-04-07;sable du Sahara;2024;Météo / Environnement;Aucune
2024-04-08;sable du Sahara;2024;Météo / Environnement;Aucune
2024-04-09;un œuf sans coquille dans le pondoir;2024;Anomalies Œufs;Aucune
2024-04-14;29°C dans l’après midi;2024;Météo / Environnement;Aucune
2024-04-19;petite gelée matinale/1 œuf cassé dans le pondoir;2024;Météo / Environnement;Aucune
2024-04-21;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-05-15;6°C ce matin;2024;Météo / Environnement;Aucune
2024-06-04;attaque de rapace;2024;Comportement;Aucune
2024-06-04;Rémiel blessée;2024;Santé / Soins;Rémiel
2024-06-16;Trouvé 3 œufs de marans dans le jardin (date de ponte?);2024;Localisation Œufs;Marans
2024-06-25;Cunégonde couve;2024;Comportement;Cunégonde
2024-06-26;Trouvé 1 œuf de marans dans le jardin;2024;Localisation Œufs;Marans
2024-07-05;absente toute la journée;2024;Vie du Poulailler / Divers;Aucune
2024-07-05;environ 30°C;2024;Météo / Environnement;Aucune
2024-07-07;décès de Shrek;2024;Santé / Soins;Shrek
2024-07-25;1 œuf de marans trouvé dans le jardin;2024;Localisation Œufs;Marans
2024-07-27;Nina coup de chaud à 5h du mat;2024;Météo / Environnement;Nina
2024-07-27;changement de poulailler le soir;2024;Installation / Technique;Aucune
2024-07-29;"alerte canicule/39;2°C relevé au Mas d’Azil";2024;Météo / Environnement;Aucune
2024-07-30;alerte canicule+poussière du Sahara;2024;Météo / Environnement;Aucune
2024-07-31;alerte canicule;2024;Météo / Environnement;Aucune
2024-08-03;1 œuf de marans trouvé dans le jardin (date de ponte?);2024;Localisation Œufs;Marans
2024-08-11;1 œuf de marans trouvé dans le jardin;2024;Localisation Œufs;Marans
2024-08-17;œuf de marans trouvé dans le jardin;2024;Localisation Œufs;Marans
2024-08-24;alerte orange orages;2024;Météo / Environnement;Aucune
2024-08-27;frais le matin puis chaud;2024;Météo / Environnement;Aucune
2024-09-15;Albertine fatiguée par sa mue;2024;Santé / Soins;Albertine
2024-09-15;vitamines+vermifuge pour tt le monde;2024;Santé / Soins;Aucune
2024-09-25;vent;2024;Météo / Environnement;Aucune
2024-10-04;Cunégonde de retour avec les autres;2024;Vie du Poulailler / Divers;Cunégonde
2024-10-05;retrait du voile d’ombrage;2024;Installation / Technique;Aucune
2024-10-07;chaud en fin d’aprèm;2024;Météo / Environnement;Aucune
2024-10-09;tempête en début de soirée;2024;Météo / Environnement;Aucune
2024-10-17;vigilance orange pluie;2024;Météo / Environnement;Aucune
2024-10-17;inondations;2024;Météo / Environnement;Aucune
2024-10-18;avicoryl;2024;Santé / Soins;Aucune
2024-11-14;temps agréable, brouillard cette nuit;2024;Météo / Environnement;Aucune
2024-11-15;gelée matinale;2024;Météo / Environnement;Aucune
2024-11-17;venteux;2024;Météo / Environnement;Aucune
2024-11-20;vigilance jaune pluie;2024;Météo / Environnement;Aucune
2024-11-20;inondations;2024;Météo / Environnement;Aucune
2024-11-21;tempête la nuit;2024;Météo / Environnement;Aucune
2024-11-22;vent;2024;Météo / Environnement;Aucune
2024-11-23;gelée matinale;2024;Météo / Environnement;Aucune
2024-11-25;vent/19°C à 7h30 du mat;2024;Météo / Environnement;Aucune
2024-11-27;aliment;2024;Alimentation;Aucune
2024-11-28;vitamines+avipar (vermifuge);2024;Santé / Soins;Aucune
2024-11-29;même temps qu’hier;2024;Météo / Environnement;Aucune
2024-11-29;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-12-05;petite gelée matinale;2024;Météo / Environnement;Aucune
2024-12-06;vent;2024;Météo / Environnement;Aucune
2024-12-07;vigilance orange;2024;Météo / Environnement;Aucune
2024-12-07;pluie;2024;Météo / Environnement;Aucune
2024-12-07;grêle;2024;Météo / Environnement;Aucune
2024-12-08;tempête;2024;Météo / Environnement;Aucune
2024-12-16;gelée matinale;2024;Météo / Environnement;Aucune
2024-12-17;gelée matinale;2024;Météo / Environnement;Aucune
2024-12-19;tempête en fin de journée;2024;Météo / Environnement;Aucune
2024-12-22;tempête;2024;Météo / Environnement;Aucune
2024-12-23;vent;2024;Météo / Environnement;Aucune
2024-12-24;Cunégonde et Albertine enrhumées;2024;Santé / Soins;Albertine, Cunégonde
2024-12-24;avicoryl pour tt le monde;2024;Santé / Soins;Aucune
2024-12-28;gelée matinale;2024;Météo / Environnement;Aucune
2024-12-29;gelée matinale;2024;Météo / Environnement;Aucune
2024-12-30;gelée matinale;2024;Météo / Environnement;Aucune
2024-12-31;gelée matinale;2024;Météo / Environnement;Aucune
2025-01-01;gelée matinale;2025;Météo / Environnement;Aucune
2025-01-02;gelée matinale (x(c)=oeuf cassé);2025;Météo / Environnement;Aucune
2025-01-04;1 œuf marans minuscule dans le poulailler;2025;Anomalies Œufs;Marans
2025-01-11;vent;2025;Météo / Environnement;Aucune
2025-01-12;vent la nuit;2025;Météo / Environnement;Aucune
2025-01-13;gelée matinale;2025;Météo / Environnement;Aucune
2025-01-14;gelée matinale;2025;Météo / Environnement;Aucune
2025-01-14;eau des poules gelée -6°C d’après météoFrance;2025;Météo / Environnement;Aucune
2025-01-15;gelée matinale;2025;Météo / Environnement;Aucune
2025-01-18;gelée matinale;2025;Météo / Environnement;Aucune
2025-01-21;vent;2025;Météo / Environnement;Aucune
2025-01-22;vitamine;2025;Santé / Soins;Aucune
2025-01-24;petite gelée matinale;2025;Météo / Environnement;Aucune
2025-01-28;fin vitamine;2025;Santé / Soins;Aucune
2025-01-28;vermifuge avipar;2025;Santé / Soins;Aucune
2025-01-28;tempête en fin de journée;2025;Météo / Environnement;Aucune
2025-01-29;changement du thermomètre;2025;Installation / Technique;Aucune
2025-02-01;changement de place du thermomètre;2025;Localisation Œufs;Aucune
2025-02-03;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-04;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-05;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-06;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-07;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-07;venteux;2025;Météo / Environnement;Aucune
2025-02-08;un peu de neige cette nuit;2025;Météo / Environnement;Aucune
2025-02-09;gelée matinale;2025;Météo / Environnement;Aucune
2025-02-11;pose anti picage Cunégonde;2025;Comportement;Cunégonde
2025-02-12;retrai anti picage Cunégonde;2025;Comportement;Cunégonde
2025-02-15;pose anti picage Cunégonde;2025;Comportement;Cunégonde
2025-02-18;Petit vent;2025;Météo / Environnement;Aucune
2025-02-19;Petit vent;2025;Météo / Environnement;Aucune
2025-02-19;épervier dans la volière;2025;Comportement;Aucune
2025-02-21;vent;2025;Météo / Environnement;Aucune
2025-02-25;vent;2025;Météo / Environnement;Aucune
2025-02-26;Pioupioute et Rémiel chez le véto;2025;Santé / Soins;Pioupioute, Rémiel
2025-02-27;Gelée matinale;2025;Météo / Environnement;Aucune
2025-02-27;traitement Pioupioute 10j;2025;Santé / Soins;Pioupioute
2025-03-01;vent;2025;Météo / Environnement;Aucune
2025-03-03;gelée matinale;2025;Météo / Environnement;Aucune
2025-03-05;vent;2025;Météo / Environnement;Aucune
2025-03-06;vent (changement de place du pondoir);2025;Météo / Environnement;Aucune
2025-03-07;vent;2025;Météo / Environnement;Aucune
2025-03-08;vent (alerte jaune);2025;Météo / Environnement;Aucune
2025-03-08;tempête en fin de journée+nuit;2025;Météo / Environnement;Aucune
2025-03-15;vent;2025;Météo / Environnement;Aucune
2025-03-18;vent;2025;Météo / Environnement;Aucune
2025-03-19;vent;2025;Météo / Environnement;Aucune
